Category	Name	Value
ReadStats	PassReads	120560.0
ReadStats	LenFail	0.0
ReadStats	QcFail	0.0
Classification	Primers_found	46013.0
Classification	Rescue	8990.0
Classification	Unusable	70054.0
Strand	+	22098.0
Strand	-	23915.0
RescueStrand	+	4495.0
RescueStrand	-	4495.0
UnclassHitNr	0	5949.0
UnclassHitNr	2	11254.0
UnclassHitNr	3	14079.0
UnclassHitNr	4	12292.0
UnclassHitNr	5	8047.0
UnclassHitNr	6	6056.0
UnclassHitNr	7	3469.0
UnclassHitNr	8	2858.0
UnclassHitNr	9	1973.0
UnclassHitNr	10	1482.0
UnclassHitNr	11	915.0
UnclassHitNr	12	653.0
UnclassHitNr	13	397.0
UnclassHitNr	14	237.0
UnclassHitNr	15	127.0
UnclassHitNr	16	102.0
UnclassHitNr	17	60.0
UnclassHitNr	18	36.0
UnclassHitNr	19	24.0
UnclassHitNr	20	19.0
UnclassHitNr	21	10.0
UnclassHitNr	22	4.0
UnclassHitNr	23	3.0
UnclassHitNr	24	2.0
UnclassHitNr	25	5.0
UnclassHitNr	26	1.0
RescueHitNr	4	1594.0
RescueHitNr	5	2666.0
RescueHitNr	6	2314.0
RescueHitNr	7	1029.0
RescueHitNr	8	513.0
RescueHitNr	9	334.0
RescueHitNr	10	235.0
RescueHitNr	11	120.0
RescueHitNr	12	81.0
RescueHitNr	13	52.0
RescueHitNr	14	22.0
RescueHitNr	15	8.0
RescueHitNr	16	6.0
RescueHitNr	17	4.0
RescueHitNr	18	2.0
RescueHitNr	19	2.0
RescueHitNr	20	6.0
RescueHitNr	23	2.0
RescueSegmentNr	2	4489.0
RescueSegmentNr	3	4.0
Unusable	0	134.0
Unusable	1	122.0
Unusable	2	543.0
Unusable	3	8987.0
Unusable	4	2957.0
Unusable	5	2856.0
Unusable	6	2053.0
Unusable	7	921.0
Unusable	8	531.0
Unusable	9	375.0
Unusable	10	418.0
Unusable	11	284.0
Unusable	12	239.0
Unusable	13	330.0
Unusable	14	235.0
Unusable	15	223.0
Unusable	16	215.0
Unusable	17	196.0
Unusable	18	403.0
Unusable	19	278.0
Unusable	20	323.0
Unusable	21	255.0
Unusable	22	249.0
Unusable	23	253.0
Unusable	24	262.0
Unusable	25	443.0
Unusable	26	309.0
Unusable	27	256.0
Unusable	28	282.0
Unusable	29	366.0
Unusable	30	222.0
Unusable	31	249.0
Unusable	32	219.0
Unusable	33	207.0
Unusable	34	207.0
Unusable	35	190.0
Unusable	36	292.0
Unusable	37	255.0
Unusable	38	301.0
Unusable	39	300.0
Unusable	40	452.0
Unusable	41	297.0
Unusable	42	221.0
Unusable	43	229.0
Unusable	44	189.0
Unusable	45	310.0
Unusable	46	226.0
Unusable	47	239.0
Unusable	48	270.0
Unusable	49	246.0
Unusable	50	230.0
Unusable	51	204.0
Unusable	52	169.0
Unusable	53	247.0
Unusable	54	194.0
Unusable	55	238.0
Unusable	56	218.0
Unusable	57	246.0
Unusable	58	499.0
Unusable	59	313.0
Unusable	60	208.0
Unusable	61	153.0
Unusable	62	172.0
Unusable	63	189.0
Unusable	64	219.0
Unusable	65	377.0
Unusable	66	765.0
Unusable	67	2421.0
Unusable	68	683.0
Unusable	69	327.0
Unusable	70	305.0
Unusable	71	321.0
Unusable	72	270.0
Unusable	73	272.0
Unusable	74	429.0
Unusable	75	233.0
Unusable	76	252.0
Unusable	77	244.0
Unusable	78	244.0
Unusable	79	206.0
Unusable	80	240.0
Unusable	81	205.0
Unusable	82	174.0
Unusable	83	299.0
Unusable	84	273.0
Unusable	85	186.0
Unusable	86	190.0
Unusable	87	194.0
Unusable	88	183.0
Unusable	89	171.0
Unusable	90	159.0
Unusable	91	147.0
Unusable	92	147.0
Unusable	93	142.0
Unusable	94	257.0
Unusable	95	356.0
Unusable	96	271.0
Unusable	97	1041.0
Unusable	98	206.0
Unusable	99	2.0
Unusable	102	1.0
Unusable	103	1.0
Unusable	104	1.0
Unusable	106	1.0
Unusable	107	2.0
Unusable	108	2.0
Unusable	109	1.0
Unusable	111	2.0
Unusable	114	1.0
Unusable	115	1.0
Unusable	117	1.0
Unusable	118	2.0
Unusable	119	5.0
Unusable	120	1.0
Unusable	121	2.0
Unusable	124	1.0
Unusable	125	2.0
Unusable	126	1.0
Unusable	127	1.0
Unusable	130	1.0
Unusable	131	4.0
Unusable	132	1.0
Unusable	133	3.0
Unusable	134	1.0
Unusable	135	4.0
Unusable	136	6.0
Unusable	137	1.0
Unusable	138	4.0
Unusable	139	5.0
Unusable	140	2.0
Unusable	141	7.0
Unusable	142	6.0
Unusable	143	5.0
Unusable	144	2.0
Unusable	145	4.0
Unusable	146	1.0
Unusable	147	2.0
Unusable	148	2.0
Unusable	149	2.0
Unusable	150	1.0
Unusable	151	6.0
Unusable	152	2.0
Unusable	153	3.0
Unusable	154	2.0
Unusable	156	1.0
Unusable	157	1.0
Unusable	158	3.0
Unusable	159	2.0
Unusable	162	1.0
Unusable	163	1.0
Unusable	164	1.0
Unusable	165	2.0
Unusable	167	1.0
Unusable	168	2.0
Unusable	169	4.0
Unusable	171	2.0
Unusable	172	3.0
Unusable	173	2.0
Unusable	174	2.0
Unusable	175	3.0
Unusable	176	1.0
Unusable	177	2.0
Unusable	178	2.0
Unusable	181	1.0
Unusable	182	1.0
Unusable	184	2.0
Unusable	185	2.0
Unusable	188	3.0
Unusable	189	1.0
Unusable	190	1.0
Unusable	191	2.0
Unusable	193	1.0
Unusable	194	3.0
Unusable	196	4.0
Unusable	199	1.0
Unusable	202	1.0
Unusable	203	1.0
Unusable	204	3.0
Unusable	205	1.0
Unusable	206	2.0
Unusable	207	1.0
Unusable	208	1.0
Unusable	210	2.0
Unusable	212	3.0
Unusable	213	1.0
Unusable	214	1.0
Unusable	215	2.0
Unusable	217	1.0
Unusable	219	1.0
Unusable	220	1.0
Unusable	221	2.0
Unusable	224	3.0
Unusable	225	1.0
Unusable	226	1.0
Unusable	227	1.0
Unusable	228	2.0
Unusable	231	1.0
Unusable	232	1.0
Unusable	233	2.0
Unusable	237	1.0
Unusable	240	2.0
Unusable	241	4.0
Unusable	242	1.0
Unusable	243	2.0
Unusable	244	4.0
Unusable	245	2.0
Unusable	246	3.0
Unusable	247	3.0
Unusable	249	3.0
Unusable	250	3.0
Unusable	252	3.0
Unusable	253	1.0
Unusable	255	5.0
Unusable	257	2.0
Unusable	258	1.0
Unusable	259	1.0
Unusable	260	1.0
Unusable	261	1.0
Unusable	262	1.0
Unusable	264	2.0
Unusable	265	3.0
Unusable	266	4.0
Unusable	267	1.0
Unusable	268	2.0
Unusable	271	2.0
Unusable	272	3.0
Unusable	273	1.0
Unusable	274	3.0
Unusable	275	1.0
Unusable	276	3.0
Unusable	277	1.0
Unusable	278	6.0
Unusable	279	1.0
Unusable	280	5.0
Unusable	281	3.0
Unusable	282	4.0
Unusable	283	5.0
Unusable	284	9.0
Unusable	285	11.0
Unusable	286	11.0
Unusable	287	13.0
Unusable	288	12.0
Unusable	289	5.0
Unusable	291	2.0
Unusable	292	1.0
Unusable	293	1.0
Unusable	294	1.0
Unusable	296	3.0
